total_seqtk_reads,sampled_cells,validation_error,total_UMIs,estimated_reads,estimated_UMIs,reads_per_cell,UMIs_per_cell,duplication_rate,dataset
5000000,5642,3291.6,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,7978,2782.3,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3774.5,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4690.7,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3629.4,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3581.4,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4964.9,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,1996,3633.8,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,3846.0,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,7978,3781.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,1996,5150.8,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4567.1,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,5593.1,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,3707.2,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,5150.8,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,5700.5,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4233.5,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,3222.2,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,5758.4,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4898.8,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,7978,3791.1,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3937.0,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,2681.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,1996,5355.6,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,7978,4060.8,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3047.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3878.9,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3622.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3653.9,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4583.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3033.1,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3822.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4341.9,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4150.3,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3025.3,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3341.1,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3378.8,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4359.7,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3267.5,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4374.1,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4248.9,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,4489.5,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,1996,3596.4,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4156.4,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4075.3,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4317.3,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1412,5502.6,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3935.8,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4007.4,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3908.8,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4599.4,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4941.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4369.8,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4234.5,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3660.4,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4136.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4326.5,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3975.2,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4370.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4778.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3872.1,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4298.6,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4611.3,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,2871.9,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4184.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,5108.5,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4723.3,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,3584.5,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1996,6285.7,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4591.1,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4438.7,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,2953.6,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4577.2,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4138.3,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4550.3,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4568.1,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4944.9,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,4840.7,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1996,5902.1,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,707,3548.0,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,4555.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3393.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,7978,3805.6,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,7978,3418.7,2238637,3298875,1476996,413,185,2.23,neuron_10k_v3
5000000,707,4472.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,1412,3482.8,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,5495.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1996,5253.2,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,1412,3738.7,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1996,4438.5,2238637,825339,369526,413,185,2.23,neuron_10k_v3
5000000,3990,5339.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,707,2787.0,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3819.9,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3596.8,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3507.4,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3265.2,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,3990,5347.8,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,500,1867.0,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1329.3,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,707,3229.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,500,1515.4,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2608.8,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2125.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1957.3,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1435.3,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1548.7,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1856.0,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1806.5,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1451.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2616.0,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,707,3448.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,4839.0,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3309.7,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,2822,4273.0,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4327.9,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,707,2718.1,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,2889.2,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,2618.9,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3370.0,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3305.8,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3177.3,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,2860.5,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,5152.6,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3647.0,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3142.8,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,4148.3,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,4085.1,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3586.1,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,4549.9,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,2663.9,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3747.2,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,707,3575.6,2238637,292342,130889,413,185,2.23,neuron_10k_v3
5000000,500,1819.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,3990,4193.7,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,500,1734.7,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1559.0,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,3990,3766.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,6033.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4586.1,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4665.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,3309.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4210.8,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4178.7,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4280.1,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4073.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4358.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,5547.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4470.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4548.6,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4429.4,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4406.6,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,3942.6,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,3826.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4340.4,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,3799.4,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4254.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4190.8,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,5267.4,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,500,2381.2,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1568.7,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2266.4,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2236.5,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1685.6,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2256.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1571.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2508.7,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1413.8,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1545.9,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1334.7,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,1677.5,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2369.1,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,500,2847.8,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,3990,4497.7,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,5831.2,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,5139.0,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,4569.4,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,3990,3369.9,2238637,1649851,738683,413,185,2.23,neuron_10k_v3
5000000,500,1715.0,2238637,206748,92566,413,185,2.23,neuron_10k_v3
5000000,1412,4890.2,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4720.6,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,1412,4727.5,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,5642,3829.3,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4889.5,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4198.7,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4255.6,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4822.1,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,5049.7,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3781.5,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,1412,4454.0,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,5642,4334.8,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3779.1,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4878.3,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,5075.7,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3912.3,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4072.8,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4645.8,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3200.2,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,5233.2,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3562.6,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4316.9,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4230.3,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4533.3,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3646.1,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4977.4,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4263.1,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,5142.0,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,5055.2,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4321.6,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,3977.7,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,5642,4438.7,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,999,4004.9,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3073.7,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3137.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3020.8,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2746.8,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3321.3,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,5270.8,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3061.4,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4274.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3380.4,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3418.6,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4506.7,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3525.8,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3381.8,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,5031.7,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2542.7,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2617.0,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4961.2,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4777.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2729.5,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3810.6,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3353.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3444.0,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3523.5,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4058.2,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3205.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2817.6,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,3475.5,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,2445.4,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,999,4172.1,2238637,413083,184948,413,185,2.23,neuron_10k_v3
5000000,1412,4403.8,2238637,583857,261408,413,185,2.23,neuron_10k_v3
5000000,5642,3400.4,2238637,2332947,1044524,413,185,2.23,neuron_10k_v3
5000000,2822,5069.8,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4526.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4599.8,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,3431.3,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,5107.3,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,3419.8,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4078.1,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,5083.9,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4706.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4067.6,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,3798.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4097.7,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4089.8,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4271.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,5263.7,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4342.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4282.4,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,3307.9,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,5165.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4663.7,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,2943.7,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4676.2,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4983.2,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,6308.3,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,6336.0,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4124.6,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,4609.6,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
5000000,2822,5280.5,2238637,1166887,522447,413,185,2.23,neuron_10k_v3
7071068,1412,2813.3,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2122.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2490.4,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,3353.1,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,999,2817.1,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,3211.1,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2341.2,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,1669.6,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,1833.5,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2971.8,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2657.1,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2243.7,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2409.7,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2691.9,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2366.5,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2181.4,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,1412,3015.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,999,2085.9,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2115.5,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2763.1,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2024.1,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2260.3,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,1412,3203.4,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2622.0,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2944.4,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2834.3,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2387.9,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,3167.7,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,4023.6,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2455.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,999,2281.8,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,1412,2859.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,5642,2338.4,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
7071068,1412,2475.7,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,3990,2409.4,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2133.9,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2228.4,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2752.5,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2232.5,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,3002.6,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2227.4,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,3111.4,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,1908.3,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,3014.2,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2846.9,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2341.0,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2571.7,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,3990,2171.0,3151609,2333241,1039937,584,260,2.24,neuron_10k_v3
7071068,999,1846.9,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2194.0,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,999,2057.8,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,1412,2583.1,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,999,2811.7,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,1412,2143.5,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2799.3,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2359.8,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2326.3,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2922.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,3548.0,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2736.5,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2381.2,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2725.3,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2717.5,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2694.8,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,3025.7,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,1412,2726.6,3151609,825698,368017,584,260,2.24,neuron_10k_v3
7071068,999,1596.7,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,707,2087.8,3151609,413434,184269,584,260,2.24,neuron_10k_v3
7071068,999,2652.8,3151609,584187,260375,584,260,2.24,neuron_10k_v3
7071068,707,2647.8,3151609,413434,184269,584,260,2.24,neuron_10k_v3
7071068,5642,3190.9,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
7071068,5642,1615.7,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
7071068,5642,2332.3,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
7071068,5642,2135.3,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
7071068,5642,2936.3,3151609,3299285,1470507,584,260,2.24,neuron_10k_v3
